Laboratory,Test,adult,assay,collection,container,external,note,row,specimen,testCode,testId,transport
Haematology,Urinary HaemosiderinAlternative Names:Haemosiderin UrineHSD,,"Urinary HaemosiderinAlternative Names:Haemosiderin UrineHSDLaboratory:HaematologyTest Code:HSDSpecimen Types:See Under Collection InstructionsContainer Types:See Under Collection InstructionsMinimum/Paediatric Volume or Mass:50 mLCollection & Request Instructions:Contact laboratory ext 62468 and collect instruction sheet and special urine container from Haematology.

Outpatient collections please refer to haem lab regs ext 63075 for instructions if clarification required.

Presence of intracellular haemosiderin indicates chronic vascular haemolysis.Transport Instructions between Sites and/or Laboratories:Room Temperature","Collection InstructionsContainer Types:See Under Collection InstructionsMinimum/Paediatric Volume or Mass:50 mLContact laboratory ext 62468 and collect instruction sheet and special urine container from Haematology.

Outpatient collections please refer to haem lab regs ext 63075 for instructions if clarification required.

Presence of intracellular haemosiderin indicates chronic vascular haemolysis.",Urinary HaemosiderinAlternative Names:Haemosiderin UrineHSDLaboratory:HaematologyTest Code:HSDSpecimen Types:See Under Collection Instructions,,,"Urinary HaemosiderinAlternative Names:Haemosiderin UrineHSDLaboratory:HaematologyTest Code:HSDSpecimen Types:See Under Collection InstructionsContainer Types:See Under Collection InstructionsMinimum/Paediatric Volume or Mass:50 mLCollection & Request Instructions:Contact laboratory ext 62468 and collect instruction sheet and special urine container from Haematology.

Outpatient collections please refer to haem lab regs ext 63075 for instructions if clarification required.

Presence of intracellular haemosiderin indicates chronic vascular haemolysis.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Weekdays",See Under Collection Instructions,HSD,700,Room Temperature
Haematology,Allergen to Herb Mix,,,"Herbmix contains tarragon, marjoram, thmye and lovage.",Allergen to Herb MixLaboratory:HaematologyTest Code:HERBMIXSpecimen Types:Serum,"Allergen to Herb MixLaboratory:HaematologyTest Code:HERBMIXSpecimen Types:SerumContainer Types:SSTCollection & Request Instructions:Herbmix contains tarragon, marjoram, thmye and lovage.Transport Instructions between Sites and/or Laboratories:Room Temperature",,"Allergen to Herb MixLaboratory:HaematologyTest Code:HERBMIXSpecimen Types:SerumContainer Types:SSTCollection & Request Instructions:Herbmix contains tarragon, marjoram, thmye and lovage.Transport Instructions between Sites and/or Laboratories:Room TemperatureExternal Laboratory:Australian Clinical Labs - Clayton Laboratory",Serum,HERBMIX,701,"Allergen to Herb MixLaboratory:HaematologyTest Code:HERBMIXSpecimen Types:SerumContainer Types:SSTCollection & Request Instructions:Herbmix contains tarragon, marjoram, thmye and lovage."
Haematology,Allergen to Clorhexidine,,,,Allergen to ClorhexidineLaboratory:HaematologyTest Code:IGE CLORHXSpecimen Types:Serum,Allergen to ClorhexidineLaboratory:HaematologyTest Code:IGE CLORHXSpecimen Types:SerumContainer Types:SSTTransport Instructions between Sites and/or Laboratories:Room Temperature,,Allergen to ClorhexidineLaboratory:HaematologyTest Code:IGE CLORHXSpecimen Types:SerumContainer Types:SSTTransport Instructions between Sites and/or Laboratories:Room TemperatureExternal Laboratory:Melbourne Health Shared Pathology Service,Serum,IGE CLORHX,702,Allergen to ClorhexidineLaboratory:HaematologyTest Code:IGE CLORHXSpecimen Types:SerumContainer Types:SST
Haematology,Allergen to Eggplant (aubergine),,,,Allergen to Eggplant (aubergine)Laboratory:HaematologyTest Code:EGGPLANTSpecimen Types:Serum,Allergen to Eggplant (aubergine)Laboratory:HaematologyTest Code:EGGPLANTSpecimen Types:SerumContainer Types:SSTTransport Instructions between Sites and/or Laboratories:Room Temperature,,Allergen to Eggplant (aubergine)Laboratory:HaematologyTest Code:EGGPLANTSpecimen Types:SerumContainer Types:SSTTransport Instructions between Sites and/or Laboratories:Room TemperatureExternal Laboratory:Australian Clinical Labs - Clayton Laboratory,Serum,EGGPLANT,703,Allergen to Eggplant (aubergine)Laboratory:HaematologyTest Code:EGGPLANTSpecimen Types:SerumContainer Types:SST
Microbiology,Blood Cultures,10 mLMinimum/Paediatric Volume or Mass:4 mL,"Blood CulturesLaboratory:MicrobiologyTest Code:BL CSpecimen Types:BloodContainer Types:Blood Culture BottlesAdults Volume or Mass:10 mLMinimum/Paediatric Volume or Mass:4 mLCollection & Request Instructions:1. Collect blood cultures prior to commencement of antibiotic therapy.

2. Remove plastic flip top from culture bottle and disinfect with an alcohol pad or equivalent. This is important because the bottle septum is not sterile.

3.  Adult: 10mL of blood per bottle

  Paediatric: 4 mL of blood per bottle.

Line demarcations on the bottle label should be used to assist in estimating the sample volume.

4. Do not use of blunt needles or coring devices to puncture the stopper. These prevent sealing of the inoculation hole, leading to aeration or allowing the sample to leak.

5. The barcode labels on the bottle are for laboratory use ONLY. Do not remove or obscure the peel-off stickers.Transport Instructions between Sites and/or Laboratories:Room Temperature","1. Collect blood cultures prior to commencement of antibiotic therapy.

2. Remove plastic flip top from culture bottle and disinfect with an alcohol pad or equivalent. This is important because the bottle septum is not sterile.

3.  Adult: 10mL of blood per bottle

  Paediatric: 4 mL of blood per bottle.

Line demarcations on the bottle label should be used to assist in estimating the sample volume.

4. Do not use of blunt needles or coring devices to puncture the stopper. These prevent sealing of the inoculation hole, leading to aeration or allowing the sample to leak.

5. The barcode labels on the bottle are for laboratory use ONLY. Do not remove or obscure the peel-off stickers.",Blood Culture Bottles,,"Green top aerobic bottle

Orange top anaerobic bottle

Yellow top paediatric bottle

Cultures are incubated for 5 days. A negative report is issued after 48 hours. All positive blood culture Gram stains are phoned through to the Doctor responsible for patient care.","Blood CulturesLaboratory:MicrobiologyTest Code:BL CSpecimen Types:BloodContainer Types:Blood Culture BottlesAdults Volume or Mass:10 mLMinimum/Paediatric Volume or Mass:4 mLCollection & Request Instructions:1. Collect blood cultures prior to commencement of antibiotic therapy.

2. Remove plastic flip top from culture bottle and disinfect with an alcohol pad or equivalent. This is important because the bottle septum is not sterile.

3.  Adult: 10mL of blood per bottle

  Paediatric: 4 mL of blood per bottle.

Line demarcations on the bottle label should be used to assist in estimating the sample volume.

4. Do not use of blunt needles or coring devices to puncture the stopper. These prevent sealing of the inoculation hole, leading to aeration or allowing the sample to leak.

5. The barcode labels on the bottle are for laboratory use ONLY. Do not remove or obscure the peel-off stickers.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:DailyAdditional Notes:Green top aerobic bottle

Orange top anaerobic bottle

Yellow top paediatric bottle

Cultures are incubated for 5 days. A negative report is issued after 48 hours. All positive blood culture Gram stains are phoned through to the Doctor responsible for patient care.",Blood,BL C,704,Room Temperature
Microbiology,Blood Culture for MycobacteriaAlternative Names:Mycobacteria Blood CultureMAC CultureAFB Blood Culture,,"Blood Culture for MycobacteriaAlternative Names:Mycobacteria Blood CultureMAC CultureAFB Blood CultureLaboratory:MicrobiologyTest Code:BLAFB CSpecimen Types:BloodContainer Types:Bactec Myco/F Lytic bottleCollection & Request Instructions:Order bottles from Supply (only one is required per patient) Code: 7614.

Remove plastic flip top from culture bottle and disinfect with an alcohol pad or equivalent. This is important because the bottle septum is not sterile.

Add 3-5mL of blood to one Bactec Myco/F Lytic bottle (red top).

This test is for Mycobacterium avium Complex (MAC) sepsis in HIV antibody positive patients.

 Transport Instructions between Sites and/or Laboratories:Room Temperature","Order bottles from Supply (only one is required per patient) Code: 7614.

Remove plastic flip top from culture bottle and disinfect with an alcohol pad or equivalent. This is important because the bottle septum is not sterile.

Add 3-5mL of blood to one Bactec Myco/F Lytic bottle (red top).

This test is for Mycobacterium avium Complex (MAC) sepsis in HIV antibody positive patients.",Blood Culture for MycobacteriaAlternative Names:Mycobacteria Blood CultureMAC CultureAFB Blood CultureLaboratory:MicrobiologyTest Code:BLAFB CSpecimen Types:Blood,,,"Blood Culture for MycobacteriaAlternative Names:Mycobacteria Blood CultureMAC CultureAFB Blood CultureLaboratory:MicrobiologyTest Code:BLAFB CSpecimen Types:BloodContainer Types:Bactec Myco/F Lytic bottleCollection & Request Instructions:Order bottles from Supply (only one is required per patient) Code: 7614.

Remove plastic flip top from culture bottle and disinfect with an alcohol pad or equivalent. This is important because the bottle septum is not sterile.

Add 3-5mL of blood to one Bactec Myco/F Lytic bottle (red top).

This test is for Mycobacterium avium Complex (MAC) sepsis in HIV antibody positive patients.

 Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Daily",Blood,BLAFB C,705,Room Temperature
Microbiology,Catheter Tip CultureAlternative Names:Intravenous catheter tip culture,,,"With sterile scissors, cut off the terminal 5cm of the tip into a dry sterile container.
1. Clearly state the type of tip to be cultured.
 2. Urinary catheter tips will not be cultured, as misleading results are frequent. Intravenous catheter tips should be cultured only when the catheter is suspected to be the cause of sepsis.
3. A semi-quantitative count of organisms is made following culture to help distinguish contamination from infection.",Catheter Tip CultureAlternative Names:Intravenous catheter tip cultureLaboratory:MicrobiologyTest Code:CATI CSpecimen Types:Catheter Tip,,,"Catheter Tip CultureAlternative Names:Intravenous catheter tip cultureLaboratory:MicrobiologyTest Code:CATI CSpecimen Types:Catheter TipContainer Types:Sterile ContainerCollection & Request Instructions:With sterile scissors, cut off the terminal 5cm of the tip into a dry sterile container.
1. Clearly state the type of tip to be cultured.
 2. Urinary catheter tips will not be cultured, as misleading results are frequent. Intravenous catheter tips should be cultured only when the catheter is suspected to be the cause of sepsis.
3. A semi-quantitative count of organisms is made following culture to help distinguish contamination from infection.
 Transport Instructions between Sites and/or Laboratories:Room Temperature",Catheter Tip,CATI C,706,"Catheter Tip CultureAlternative Names:Intravenous catheter tip cultureLaboratory:MicrobiologyTest Code:CATI CSpecimen Types:Catheter TipContainer Types:Sterile ContainerCollection & Request Instructions:With sterile scissors, cut off the terminal 5cm of the tip into a dry sterile container.
1. Clearly state the type of tip to be cultured.
 2. Urinary catheter tips will not be cultured, as misleading results are frequent. Intravenous catheter tips should be cultured only when the catheter is suspected to be the cause of sepsis.
3. A semi-quantitative count of organisms is made following culture to help distinguish contamination from infection."
Microbiology,CSF Microscopy & CultureAlternative Names:Cerebrospinal Fluid MC&S,1 mL,,"1. Out-of-hours: Notify on-call staff via Alfred switchboard if microscopy and culture required ( not usually indicated if CSF is clear macroscopically).
2.  A Gram stain is performed on any CSF with a raised white cell count (> 5 polymorphs x 106/L). 
3. Special tests are available on specific request. See individual test listings.",CSF Tube 3,,"Reference Ranges:
RBC                        0  x 10^6/L
Lymphocytes       < 5 x 10^6/L
Other WBC             0  x 10^6/L","CSF Microscopy & CultureAlternative Names:Cerebrospinal Fluid MC&SLaboratory:MicrobiologyTest Code:CSF CSpecimen Types:Cerebrospinal FluidContainer Types:CSF Tube 3Adults Volume or Mass:1 mLCollection & Request Instructions:1. Out-of-hours: Notify on-call staff via Alfred switchboard if microscopy and culture required ( not usually indicated if CSF is clear macroscopically).
2.  A Gram stain is performed on any CSF with a raised white cell count (> 5 polymorphs x 106/L). 
3. Special tests are available on specific request. See individual test listings.Transport Instructions between Sites and/or Laboratories:Room TemperatureAdditional Notes:Reference Ranges:
RBC                        0  x 10^6/L
Lymphocytes       < 5 x 10^6/L
Other WBC             0  x 10^6/L",Cerebrospinal Fluid,CSF C,707,"CSF Microscopy & CultureAlternative Names:Cerebrospinal Fluid MC&SLaboratory:MicrobiologyTest Code:CSF CSpecimen Types:Cerebrospinal FluidContainer Types:CSF Tube 3Adults Volume or Mass:1 mLCollection & Request Instructions:1. Out-of-hours: Notify on-call staff via Alfred switchboard if microscopy and culture required ( not usually indicated if CSF is clear macroscopically).
2.  A Gram stain is performed on any CSF with a raised white cell count (> 5 polymorphs x 106/L). 
3. Special tests are available on specific request. See individual test listings."
Microbiology,Clostridium difficile Toxin,Collection Kit,,Collection KitAdults Volume or Mass:10 gClostridium difficile toxin is performed only on loose or watery stools.,Faecal Collection Kit,,,Clostridium difficile ToxinLaboratory:MicrobiologyTest Code:CDIFTOXSpecimen Types:FaecesContainer Types:Faecal Collection KitAdults Volume or Mass:10 gCollection & Request Instructions:Clostridium difficile toxin is performed only on loose or watery stools.Transport Instructions between Sites and/or Laboratories:Room Temperature,Faeces,CDIFTOX,708,Clostridium difficile ToxinLaboratory:MicrobiologyTest Code:CDIFTOXSpecimen Types:FaecesContainer Types:Faecal Collection KitAdults Volume or Mass:10 gCollection & Request Instructions:Clostridium difficile toxin is performed only on loose or watery stools.
Microbiology,Cryptococcal Antigen Serum,Cryptococcal Antigen SerumLaboratory:MicrobiologyTest Code:CRYASSpecimen Types:SerumContainer Types:SST,Cryptococcal Antigen SerumLaboratory:MicrobiologyTest Code:CRYASSpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:10 mLTransport Instructions between Sites and/or Laboratories:Room Temperature,,SST,,,Cryptococcal Antigen SerumLaboratory:MicrobiologyTest Code:CRYASSpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:10 mLTransport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Weekdays,Serum,CRYAS,709,Room Temperature
Microbiology,Duodenal Aspirate,,,For examination of Giardia intestinalis and Strongyloides stercoralis.,Duodenal AspirateLaboratory:MicrobiologyTest Code:OCPSpecimen Types:Aspirate,,,Duodenal AspirateLaboratory:MicrobiologyTest Code:OCPSpecimen Types:AspirateContainer Types:Plain 70mL potCollection & Request Instructions:For examination of Giardia intestinalis and Strongyloides stercoralis.Transport Instructions between Sites and/or Laboratories:Room TemperatureSend to lab immediately,Aspirate,OCP,710,Duodenal AspirateLaboratory:MicrobiologyTest Code:OCPSpecimen Types:AspirateContainer Types:Plain 70mL potCollection & Request Instructions:For examination of Giardia intestinalis and Strongyloides stercoralis.
Microbiology,Faeces CultureAlternative Names:Clostridium difficile cultureCampylobacter cultureSalmonella cultureShigella culture,Collection Kit,,"Collection KitAdults Volume or Mass:10 g Investigations for Salmonella, Shigella and Campylobacter are restricted to Outpatients and patients hospitalised for less than 4 days.

Only one (1) faecal sample is required. Collect 10g of faeces into each container.

Culture for Clostridium difficile is performed only on loose or watery stools.

Relevant clinical notes are essential. A history of recent overseas travel must be documented on the request slip.

Rectal swabs are unsuitable unless the patient is in ICU. For further information, contact the Microbiology Registrar.",Faecal Collection Kit,,,"Faeces CultureAlternative Names:Clostridium difficile cultureCampylobacter cultureSalmonella cultureShigella cultureLaboratory:MicrobiologyTest Code:FAE CSpecimen Types:FaecesContainer Types:Faecal Collection KitAdults Volume or Mass:10 gCollection & Request Instructions: Investigations for Salmonella, Shigella and Campylobacter are restricted to Outpatients and patients hospitalised for less than 4 days.

Only one (1) faecal sample is required. Collect 10g of faeces into each container.

Culture for Clostridium difficile is performed only on loose or watery stools.

Relevant clinical notes are essential. A history of recent overseas travel must be documented on the request slip.

Rectal swabs are unsuitable unless the patient is in ICU. For further information, contact the Microbiology Registrar.Transport Instructions between Sites and/or Laboratories:Room Temperature",Faeces,FAE C,711,"Faeces CultureAlternative Names:Clostridium difficile cultureCampylobacter cultureSalmonella cultureShigella cultureLaboratory:MicrobiologyTest Code:FAE CSpecimen Types:FaecesContainer Types:Faecal Collection KitAdults Volume or Mass:10 gCollection & Request Instructions: Investigations for Salmonella, Shigella and Campylobacter are restricted to Outpatients and patients hospitalised for less than 4 days.

Only one (1) faecal sample is required. Collect 10g of faeces into each container.

Culture for Clostridium difficile is performed only on loose or watery stools.

Relevant clinical notes are essential. A history of recent overseas travel must be documented on the request slip.

Rectal swabs are unsuitable unless the patient is in ICU. For further information, contact the Microbiology Registrar."
Microbiology,Gastric Aspirate Microscopy & Culture,,,,Gastric Aspirate Microscopy & CultureLaboratory:MicrobiologyTest Code:ASP CSpecimen Types:Aspirate,,,Gastric Aspirate Microscopy & CultureLaboratory:MicrobiologyTest Code:ASP CSpecimen Types:AspirateContainer Types:Sterile ContainerTransport Instructions between Sites and/or Laboratories:Room TemperatureSend to lab immediately,Aspirate,ASP C,712,Gastric Aspirate Microscopy & CultureLaboratory:MicrobiologyTest Code:ASP CSpecimen Types:AspirateContainer Types:Sterile Container
Microbiology,Gastric Lavage for Tuberculosis,,,"Fasting SampleCollect aspirate following a 100 mL saline lavage after an overnight fast.
Culture for mycobacteria must be specifically requested.",Gastric Lavage for TuberculosisLaboratory:MicrobiologyTest Code:AFB CSpecimen Types:Fluid,,,"Gastric Lavage for TuberculosisLaboratory:MicrobiologyTest Code:AFB CSpecimen Types:FluidContainer Types:Sterile ContainerCollection & Request Instructions:Fasting SampleCollect aspirate following a 100 mL saline lavage after an overnight fast.
Culture for mycobacteria must be specifically requested.Transport Instructions between Sites and/or Laboratories:Room TemperatureSend to lab immediately",Fluid,AFB C,713,"Gastric Lavage for TuberculosisLaboratory:MicrobiologyTest Code:AFB CSpecimen Types:FluidContainer Types:Sterile ContainerCollection & Request Instructions:Fasting SampleCollect aspirate following a 100 mL saline lavage after an overnight fast.
Culture for mycobacteria must be specifically requested."
Microbiology,Hydatid Disease Microscopy,,,Direct microscopy on aspirates from cysts.,Hydatid Disease MicroscopyLaboratory:MicrobiologyTest Code:OCPSpecimen Types:Aspirate,,,Hydatid Disease MicroscopyLaboratory:MicrobiologyTest Code:OCPSpecimen Types:AspirateContainer Types:Sterile ContainerCollection & Request Instructions:Direct microscopy on aspirates from cysts.Transport Instructions between Sites and/or Laboratories:Room TemperatureSend to lab immediately,Aspirate,OCP,714,Hydatid Disease MicroscopyLaboratory:MicrobiologyTest Code:OCPSpecimen Types:AspirateContainer Types:Sterile ContainerCollection & Request Instructions:Direct microscopy on aspirates from cysts.
Microbiology,Legionella InvestigationAlternative Names:Legionella PCRLegionella culture,,Weekdays,"Legionella investigation must be specifically requested.

Note: Nose/Throat or other swabs are NOT suitable for this test and will not be processed.",Legionella InvestigationAlternative Names:Legionella PCRLegionella cultureLaboratory:MicrobiologyTest Code:LEGPCRSpecimen Types:SputumBronchial WashingsBronchoalveolar Lavage,"Legionella InvestigationAlternative Names:Legionella PCRLegionella cultureLaboratory:MicrobiologyTest Code:LEGPCRSpecimen Types:SputumBronchial WashingsBronchoalveolar LavageContainer Types:Sterile ContainerCollection & Request Instructions:Legionella investigation must be specifically requested.

Note: Nose/Throat or other swabs are NOT suitable for this test and will not be processed.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Weekdays",,"Legionella InvestigationAlternative Names:Legionella PCRLegionella cultureLaboratory:MicrobiologyTest Code:LEGPCRSpecimen Types:SputumBronchial WashingsBronchoalveolar LavageContainer Types:Sterile ContainerCollection & Request Instructions:Legionella investigation must be specifically requested.

Note: Nose/Throat or other swabs are NOT suitable for this test and will not be processed.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:WeekdaysExternal Laboratory:V.I.D.R.L.",SputumBronchial WashingsBronchoalveolar Lavage,LEGPCR,715,Room Temperature
Microbiology,Mycobacteria  Microscopy & CultureAlternative Names:AFBTB Culture,,External sites,"Sputum- Three consecutive early morning specimens with the date of collection on the specimen container. Saliva is unsuitable.
Urine- Three consecutive, complete early morning specimens with the date of collection on the specimen container.  . Culture only (no smear). Order 700 mL  containers & lids from Supply eReq numbers 9719 & 54230.
 Swabs - are unacceptable.",Mycobacteria  Microscopy & CultureAlternative Names:AFBTB CultureLaboratory:MicrobiologyTest Code:AFB CSpecimen Types:SputumBronchial WashingsBronchoalveolar LavageFluidTissueUrine Complete Early Morning,"Mycobacteria  Microscopy & CultureAlternative Names:AFBTB CultureLaboratory:MicrobiologyTest Code:AFB CSpecimen Types:SputumBronchial WashingsBronchoalveolar LavageFluidTissueUrine Complete Early MorningContainer Types:See Detailed InformationCollection & Request Instructions:Sputum- Three consecutive early morning specimens with the date of collection on the specimen container. Saliva is unsuitable.
Urine- Three consecutive, complete early morning specimens with the date of collection on the specimen container.  . Culture only (no smear). Order 700 mL  containers & lids from Supply eReq numbers 9719 & 54230.
 Swabs - are unacceptable.Transport Instructions between Sites and/or Laboratories:RoomTemp within Alfred/Esky from",,"Mycobacteria  Microscopy & CultureAlternative Names:AFBTB CultureLaboratory:MicrobiologyTest Code:AFB CSpecimen Types:SputumBronchial WashingsBronchoalveolar LavageFluidTissueUrine Complete Early MorningContainer Types:See Detailed InformationCollection & Request Instructions:Sputum- Three consecutive early morning specimens with the date of collection on the specimen container. Saliva is unsuitable.
Urine- Three consecutive, complete early morning specimens with the date of collection on the specimen container.  . Culture only (no smear). Order 700 mL  containers & lids from Supply eReq numbers 9719 & 54230.
 Swabs - are unacceptable.Transport Instructions between Sites and/or Laboratories:RoomTemp within Alfred/Esky from External sitesAssay Frequency:Weekdays",SputumBronchial WashingsBronchoalveolar LavageFluidTissueUrine Complete Early Morning,AFB C,716,RoomTemp within Alfred/Esky from External sites
Microbiology,Mycoplasma (genital type) Culture,,Weekdays,"Urine samples must only be sent in cases of sterile pyuria.

Deliver as soon as possible after collection.",Mycoplasma (genital type) CultureLaboratory:MicrobiologyTest Code:MYPUREAP CSpecimen Types:SwabUrine random,"Mycoplasma (genital type) CultureLaboratory:MicrobiologyTest Code:MYPUREAP CSpecimen Types:SwabUrine randomContainer Types:Gel SwabPlain 70mL potCollection & Request Instructions:Urine samples must only be sent in cases of sterile pyuria.

Deliver as soon as possible after collection.Transport Instructions between Sites and/or Laboratories:Room TemperatureSend as soon as possible after collection.Assay Frequency:Weekdays",,"Mycoplasma (genital type) CultureLaboratory:MicrobiologyTest Code:MYPUREAP CSpecimen Types:SwabUrine randomContainer Types:Gel SwabPlain 70mL potCollection & Request Instructions:Urine samples must only be sent in cases of sterile pyuria.

Deliver as soon as possible after collection.Transport Instructions between Sites and/or Laboratories:Room TemperatureSend as soon as possible after collection.Assay Frequency:WeekdaysExternal Laboratory:Melbourne Health Shared Pathology Service",SwabUrine random,MYPUREAP C,717,Room TemperatureSend as soon as possible after collection.
Microbiology,Neonatal Sepsis,,,"Gastric Aspirate preferred.  Umbilical swab, ear swab, groin swab, and/or blood culture may also be collected.
Most common bacterial causes are Group B Streptococcus, Haemophilus influenzae, Listeria monocytogenes, Eschericia Coli.",Neonatal SepsisLaboratory:MicrobiologyTest Code:no ideaSpecimen Types:AspirateSwabBlood,,,"Neonatal SepsisLaboratory:MicrobiologyTest Code:no ideaSpecimen Types:AspirateSwabBloodContainer Types:Sterile ContainerDry SwabBlood Culture BottlesCollection & Request Instructions:Gastric Aspirate preferred.  Umbilical swab, ear swab, groin swab, and/or blood culture may also be collected.
Most common bacterial causes are Group B Streptococcus, Haemophilus influenzae, Listeria monocytogenes, Eschericia Coli.Transport Instructions between Sites and/or Laboratories:Room Temperature",AspirateSwabBlood,no idea,718,"Neonatal SepsisLaboratory:MicrobiologyTest Code:no ideaSpecimen Types:AspirateSwabBloodContainer Types:Sterile ContainerDry SwabBlood Culture BottlesCollection & Request Instructions:Gastric Aspirate preferred.  Umbilical swab, ear swab, groin swab, and/or blood culture may also be collected.
Most common bacterial causes are Group B Streptococcus, Haemophilus influenzae, Listeria monocytogenes, Eschericia Coli."
Microbiology,Pus Culture,,,"Aspirate from collection, abscess or wound; biopsy of abscess wall. The specimen should be collected in a sterile container. It is also possible to send a capped syringe (needle must be removed). 
Pus should always be aspirated, if possible, rather than collecting a wound swab.
Swabs from a draining wound or sinus are frequently contaminated with normal flora from skin, mucous membrane.
Pus should be transported immediately to the laboratory.
Biopsy of abscess wall or adjacent tissue may increase the yield, especially in chronic infection.",Pus CultureLaboratory:MicrobiologyTest Code:SUNDRY CSpecimen Types:AspirateFluid,,,"Pus CultureLaboratory:MicrobiologyTest Code:SUNDRY CSpecimen Types:AspirateFluidContainer Types:Sterile ContainerCollection & Request Instructions:Aspirate from collection, abscess or wound; biopsy of abscess wall. The specimen should be collected in a sterile container. It is also possible to send a capped syringe (needle must be removed). 
Pus should always be aspirated, if possible, rather than collecting a wound swab.
Swabs from a draining wound or sinus are frequently contaminated with normal flora from skin, mucous membrane.
Pus should be transported immediately to the laboratory.
Biopsy of abscess wall or adjacent tissue may increase the yield, especially in chronic infection.Transport Instructions between Sites and/or Laboratories:Room Temperature",AspirateFluid,SUNDRY C,719,"Pus CultureLaboratory:MicrobiologyTest Code:SUNDRY CSpecimen Types:AspirateFluidContainer Types:Sterile ContainerCollection & Request Instructions:Aspirate from collection, abscess or wound; biopsy of abscess wall. The specimen should be collected in a sterile container. It is also possible to send a capped syringe (needle must be removed). 
Pus should always be aspirated, if possible, rather than collecting a wound swab.
Swabs from a draining wound or sinus are frequently contaminated with normal flora from skin, mucous membrane.
Pus should be transported immediately to the laboratory.
Biopsy of abscess wall or adjacent tissue may increase the yield, especially in chronic infection."
Microbiology,Skin Scrapings for FungiAlternative Names:Dermatophyte cultureFungal culture,,,"Do not treat affected area prior to scraping. Firmly scrape the lesion at the advancing border.
Implant the scrapings into the surface of the special agar plates (supplied by laboratory) or collect in a sterile pot.
Do not send blades to the laboratory. 
 ",Skin Scrapings for FungiAlternative Names:Dermatophyte cultureFungal cultureLaboratory:MicrobiologyTest Code:DERM CSpecimen Types:Skin Scrapings,,,"Skin Scrapings for FungiAlternative Names:Dermatophyte cultureFungal cultureLaboratory:MicrobiologyTest Code:DERM CSpecimen Types:Skin ScrapingsContainer Types:Special:Agar Plates for Dermatophyte CulturePlain 70mL potCollection & Request Instructions:Do not treat affected area prior to scraping. Firmly scrape the lesion at the advancing border.
Implant the scrapings into the surface of the special agar plates (supplied by laboratory) or collect in a sterile pot.
Do not send blades to the laboratory. 
 Transport Instructions between Sites and/or Laboratories:Room Temperature",Skin Scrapings,DERM C,720,"Skin Scrapings for FungiAlternative Names:Dermatophyte cultureFungal cultureLaboratory:MicrobiologyTest Code:DERM CSpecimen Types:Skin ScrapingsContainer Types:Special:Agar Plates for Dermatophyte CulturePlain 70mL potCollection & Request Instructions:Do not treat affected area prior to scraping. Firmly scrape the lesion at the advancing border.
Implant the scrapings into the surface of the special agar plates (supplied by laboratory) or collect in a sterile pot.
Do not send blades to the laboratory."
Microbiology,Nail Clippings for FungiAlternative Names:Dermatophyte cultureFungal culture,,,"Cut nail into small pieces. Implant the nail clippings onto the surface of the special agar plates supplied by the laboratory or place in a sterile pot.
Do not send blades to the laboratory.
 ",Nail Clippings for FungiAlternative Names:Dermatophyte cultureFungal cultureLaboratory:MicrobiologyTest Code:DERM CSpecimen Types:Nail Clippings,,,"Nail Clippings for FungiAlternative Names:Dermatophyte cultureFungal cultureLaboratory:MicrobiologyTest Code:DERM CSpecimen Types:Nail ClippingsContainer Types:Special:Agar Plates for Dermatophyte CulturePlain 70mL potCollection & Request Instructions:Cut nail into small pieces. Implant the nail clippings onto the surface of the special agar plates supplied by the laboratory or place in a sterile pot.
Do not send blades to the laboratory.
 Transport Instructions between Sites and/or Laboratories:Room Temperature",Nail Clippings,DERM C,721,"Nail Clippings for FungiAlternative Names:Dermatophyte cultureFungal cultureLaboratory:MicrobiologyTest Code:DERM CSpecimen Types:Nail ClippingsContainer Types:Special:Agar Plates for Dermatophyte CulturePlain 70mL potCollection & Request Instructions:Cut nail into small pieces. Implant the nail clippings onto the surface of the special agar plates supplied by the laboratory or place in a sterile pot.
Do not send blades to the laboratory."
